Passenger_trav_group,PassengerId_in_group,HomePlanet,CryoSleep,Deck_num,Room_num,Bord_side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,First_name,Last_name,Transported_model,Transported_true
13,1,Earth,True,G,3,right,TRAPPIST-1e,27,False,0,0,0,0,0,Nelly,Carsoning,True,False
32,1,Earth,True,D,0,right,TRAPPIST-1e,20,False,0,0,0,0,0,Acrabi,Pringry,True,False
42,1,Mars,True,E,0,left,TRAPPIST-1e,46,False,0,0,0,0,0,Hamus,Frité,True,False
47,1,Earth,True,B,0,right,TRAPPIST-1e,44,False,0,0,0,0,0,Winonon,Prucerod,True,False
59,1,Earth,True,E,2,left,TRAPPIST-1e,36,False,0,0,0,0,0,Janne,Carvis,True,False
65,1,Earth,True,G,9,right,TRAPPIST-1e,26,False,0,0,0,0,0,Monald,Rushorney,True,False
79,1,Earth,True,G,12,right,TRAPPIST-1e,48,False,0,0,0,0,0,Verney,Sullones,True,False
89,1,Mars,True,F,19,right,TRAPPIST-1e,24,False,0,0,0,0,0,Ors,Cha,True,False
94,1,Earth,True,G,17,right,TRAPPIST-1e,6,False,0,0,0,0,0,Jaye,Santantines,True,False
106,1,Earth,True,F,26,right,TRAPPIST-1e,17,False,0,0,0,0,0,Therly,Puckenton,True,False
137,1,Earth,True,G,24,right,TRAPPIST-1e,29,False,0,0,0,0,0,Jilley,Harry,True,False
142,1,Mars,True,F,30,right,TRAPPIST-1e,2,False,0,0,0,0,0,Oakes,Buth,True,False
150,1,Earth,True,B,7,left,TRAPPIST-1e,36,False,0,0,0,0,0,Menkaa,Slowatic,True,False
150,2,Earth,True,B,7,left,TRAPPIST-1e,56,False,0,0,0,0,0,Wasalm,Slowatic,True,False
154,1,Earth,True,G,21,left,PSO J318,39,False,0,0,0,0,0,Dorah,Brenney,True,False
156,1,Mars,True,F,34,left,TRAPPIST-1e,69,False,0,0,0,0,0,Tures,Upead,True,False
168,1,Earth,True,C,7,right,TRAPPIST-1e,29,False,0,0,0,0,0,Saxinon,Oradly,True,False
175,1,Earth,True,G,25,left,TRAPPIST-1e,0,False,0,0,0,0,0,Celis,Benney,True,False
175,3,Earth,True,G,25,left,TRAPPIST-1e,3,False,0,0,0,0,0,Leence,Benney,True,False
175,4,Earth,True,G,25,left,TRAPPIST-1e,27,False,0,0,0,0,0,Eulah,Benney,True,False
194,1,Earth,True,C,4,left,TRAPPIST-1e,14,False,0,0,0,0,0,Ruchbia,Extraly,True,False
208,1,Earth,True,G,33,left,TRAPPIST-1e,40,False,44,0,565,0,18,Mael,Vales,True,False
215,1,Earth,True,G,34,left,TRAPPIST-1e,23,False,0,0,0,0,0,Jaimez,Waterson,True,False
228,1,Earth,True,B,4,right,TRAPPIST-1e,35,False,0,0,0,0,0,Azhasim,Dompul,True,False
230,1,Earth,True,F,49,left,PSO J318,29,False,0,0,0,0,0,Daisya,Burksson,True,False
235,1,Earth,True,G,40,left,TRAPPIST-1e,25,False,0,0,0,0,0,Monard,Hickerson,True,False
236,1,Mars,True,F,51,left,TRAPPIST-1e,36,False,0,0,0,0,0,Poloos,Nutte,True,False
264,2,Earth,True,B,5,right,TRAPPIST-1e,38,False,0,0,0,0,0,Okulus,Anindery,True,False
273,2,Mars,True,F,60,left,TRAPPIST-1e,20,False,0,0,0,0,0,Triesh,Ste,True,False
274,2,Mars,True,E,17,right,TRAPPIST-1e,26,False,0,0,0,0,400,Bats,Melto,True,False
276,2,Earth,True,B,6,right,TRAPPIST-1e,25,False,0,0,0,0,0,Zedark,Pabler,True,False
308,1,Earth,True,G,48,left,PSO J318,12,False,250,0,0,0,0,unknown,unknown,True,False
312,1,Earth,True,G,49,left,TRAPPIST-1e,22,False,0,0,0,0,0,Adrie,Hoffergess,True,False
318,1,Earth,True,G,52,left,PSO J318,24,False,0,0,0,0,0,Robyna,Solon,True,False
332,1,Earth,True,G,55,left,TRAPPIST-1e,20,False,0,0,0,0,0,Shany,Pooles,True,False
342,2,Earth,True,G,58,left,PSO J318,43,False,0,0,0,0,0,Blanie,Headardyer,True,False
344,1,Earth,True,C,8,left,TRAPPIST-1e,32,False,0,0,0,0,0,Zibah,Stranbeate,True,False
351,1,Mars,True,F,77,left,TRAPPIST-1e,41,False,0,0,0,0,0,Macon,Fache,True,False
353,1,Earth,True,G,61,left,TRAPPIST-1e,2,False,0,0,0,0,0,Arla,Jacostanley,True,False
353,2,Earth,True,G,61,left,PSO J318,21,False,0,0,0,0,0,Delley,Jacostanley,True,False
363,3,Earth,True,E,22,right,TRAPPIST-1e,5,False,0,0,0,0,0,Jenn,Fowlesterez,True,False
366,1,Earth,True,G,52,right,TRAPPIST-1e,24,False,0,0,0,0,0,unknown,unknown,True,False
390,1,Earth,True,G,67,left,TRAPPIST-1e,61,False,0,0,0,0,0,Anda,Mejiaddox,True,False
399,1,Earth,True,G,68,left,TRAPPIST-1e,18,False,0,0,0,0,0,Rayle,Lewinton,True,False
400,1,Earth,True,C,10,left,TRAPPIST-1e,20,False,0,0,0,0,0,Azaleha,Aroodint,True,False
419,2,Earth,True,G,70,left,PSO J318,15,False,0,0,0,0,0,unknown,unknown,True,False
419,3,Earth,True,G,70,left,TRAPPIST-1e,35,False,0,0,0,0,0,Erman,Monsoney,True,False
464,1,Earth,True,G,68,right,TRAPPIST-1e,28,False,0,0,0,0,400,Dwindy,Emenez,True,False
467,1,Mars,True,D,17,left,TRAPPIST-1e,22,False,0,0,0,0,0,Gonut,Keen,True,False
467,2,Mars,True,D,17,left,TRAPPIST-1e,69,False,0,0,0,0,0,Cings,Keen,True,False
483,1,Earth,True,D,18,left,TRAPPIST-1e,28,False,0,0,0,0,0,Caphact,Flutorly,True,False
489,1,Mars,True,E,31,left,TRAPPIST-1e,33,False,0,0,0,0,0,Fal,Knike,True,False
489,2,Mars,True,F,105,left,TRAPPIST-1e,18,False,0,0,0,0,0,Rios,Knike,True,False
493,1,Earth,True,G,72,right,TRAPPIST-1e,46,False,0,0,0,0,0,unknown,unknown,True,False
495,1,Earth,True,G,73,right,TRAPPIST-1e,4,False,0,0,0,0,0,Nelly,Richan,True,False
495,2,Earth,True,G,73,right,TRAPPIST-1e,0,False,0,0,0,0,0,Monard,Richan,True,False
495,3,Earth,True,G,73,right,TRAPPIST-1e,12,False,0,0,0,0,0,Etha,Richan,True,False
496,2,Earth,True,G,77,left,PSO J318,14,False,0,0,0,0,0,Ianna,Kennetty,True,False
497,1,Mars,True,F,107,left,TRAPPIST-1e,27,False,0,0,0,0,0,Muebix,Mepie,True,False
514,1,Earth,True,G,79,left,TRAPPIST-1e,17,False,0,0,0,0,0,Erie,Tersony,True,False
526,1,Earth,True,G,80,left,TRAPPIST-1e,34,False,0,0,0,0,0,Elody,Daughessey,True,False
532,2,Earth,True,B,22,right,TRAPPIST-1e,17,False,0,0,0,0,0,Rasalm,Groughty,True,False
541,1,Earth,True,B,23,right,TRAPPIST-1e,36,False,0,0,0,0,0,Jabbab,Dident,True,False
543,1,Earth,True,G,85,left,TRAPPIST-1e,36,False,0,0,0,0,0,Yolas,Pooley,True,False
557,1,Mars,True,F,113,left,TRAPPIST-1e,45,False,0,0,0,0,0,Caks,Spie,True,False
557,2,Mars,True,F,113,left,TRAPPIST-1e,21,False,0,0,0,0,0,Mall,Spie,True,False
