Passenger_trav_group,PassengerId_in_group,HomePlanet,CryoSleep,Deck_num,Room_num,Bord_side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,First_name,Last_name,Transported
1,1,Earth,False,B,0,left,TRAPPIST-1e,39,False,0,0,0,0,0,Maham,Ofracculy,False
2,1,Earth,False,F,0,right,TRAPPIST-1e,24,False,109,9,25,549,44,Juanna,Vines,True
3,1,Earth,False,A,0,right,TRAPPIST-1e,58,True,43,3576,0,6715,49,Altark,Susent,False
3,2,Earth,False,A,0,right,TRAPPIST-1e,33,False,0,1283,371,3329,193,Solam,Susent,False
4,1,Earth,False,F,1,right,TRAPPIST-1e,16,False,303,70,151,565,2,Willy,Santantines,True
5,1,Earth,False,F,0,left,PSO J318,44,False,0,483,0,291,0,Sandie,Hinetthews,True
6,1,Earth,False,F,2,right,TRAPPIST-1e,26,False,42,1539,3,0,0,Billex,Jacostaffey,True
6,2,Earth,True,G,0,right,TRAPPIST-1e,28,False,0,0,0,0,400,Candra,Jacostaffey,True
7,1,Earth,False,F,3,right,TRAPPIST-1e,35,False,0,785,17,216,0,Andona,Beston,True
8,1,Earth,True,B,1,left,Cancri e,14,False,0,0,0,0,0,Erraiam,Flatic,True
8,2,Earth,True,B,1,left,TRAPPIST-1e,34,False,0,0,180,0,0,Altardr,Flatic,True
8,3,Earth,False,B,1,left,Cancri e,45,False,39,7295,589,110,124,Wezena,Flatic,True
9,1,Mars,False,F,1,left,TRAPPIST-1e,32,False,73,0,1123,0,113,Berers,Barne,True
10,1,Earth,False,G,1,right,TRAPPIST-1e,48,False,719,1,65,0,24,Reney,Baketton,False
11,1,Earth,False,F,2,left,TRAPPIST-1e,28,False,8,974,12,2,7,Elle,Bertsontry,True
14,1,Mars,False,F,3,left,Cancri e,27,False,1286,122,180,0,0,Flats,Eccle,False
15,1,Earth,False,F,4,left,Cancri e,24,False,0,1,0,0,637,Carry,Hughriend,False
16,1,Mars,True,F,5,left,TRAPPIST-1e,45,False,0,0,0,0,0,Alus,Upead,True
17,1,Earth,False,G,0,left,TRAPPIST-1e,0,False,0,0,0,0,0,Lyde,Brighttt,True
17,2,Earth,False,F,6,left,Cancri e,14,False,412,0,1,0,679,Philda,Brighttt,False
20,1,Earth,True,E,0,right,TRAPPIST-1e,1,False,0,0,0,0,0,Almary,Brantuarez,False
20,2,Earth,True,E,0,right,Cancri e,49,False,0,0,0,0,0,Glendy,Brantuarez,False
20,3,Earth,True,E,0,right,Cancri e,29,False,0,0,180,0,0,Mollen,Mcfaddennon,False
20,4,Earth,False,E,0,right,TRAPPIST-1e,10,False,0,0,0,0,0,Breney,Jacostanley,True
20,5,Earth,True,E,0,right,PSO J318,1,False,0,0,0,0,0,Mael,Brantuarez,False
20,6,Earth,False,E,0,right,TRAPPIST-1e,7,False,0,0,0,0,0,Terta,Mcfaddennon,False
22,1,Mars,False,D,0,left,TRAPPIST-1e,21,False,980,2,69,0,0,unknown,unknown,False
24,1,Earth,True,C,2,right,TRAPPIST-1e,62,False,0,0,11,0,0,Penton,Fullided,True
25,1,Earth,False,F,6,right,TRAPPIST-1e,15,False,0,225,0,998,0,Karard,Brookenson,False
26,1,Earth,False,C,0,left,Cancri e,34,False,22,6073,0,1438,328,Anyoni,Unconary,False
28,1,Mars,False,F,8,left,TRAPPIST-1e,43,False,1125,0,136,48,0,Ceros,Mare,False
30,1,Earth,False,G,4,right,TRAPPIST-1e,32,False,0,850,81,437,453,Ginia,Morsentley,False
31,1,Mars,False,F,9,left,TRAPPIST-1e,47,False,214,0,1411,0,1229,Coobix,Datie,True
31,2,Mars,False,F,9,left,TRAPPIST-1e,2,False,0,0,0,0,0,Cinets,Datie,True
31,3,Mars,False,F,9,left,TRAPPIST-1e,20,False,250,0,1750,990,0,Dontch,Datie,True
34,1,Earth,True,D,1,right,Cancri e,28,False,0,0,0,0,0,Ziba,Oingwhedly,True
35,1,Mars,False,D,1,left,Cancri e,23,False,784,964,0,951,0,Luse,Butte,False
36,1,Earth,False,F,8,right,Cancri e,15,False,0,492,48,20,401,Marina,Leodger,False
38,1,Earth,False,F,10,right,Cancri e,20,False,554,195,0,2606,0,Loise,Wheelez,False
39,1,Earth,True,G,1,left,Cancri e,30,False,0,0,180,0,0,Jorgie,Batthewitt,False
41,1,Earth,True,G,2,left,TRAPPIST-1e,17,False,0,0,0,0,0,Margia,Moodsey,True
43,1,Earth,False,B,3,left,TRAPPIST-1e,45,False,0,164,45,2511,855,Ankalik,Cylistrand,False
44,1,Earth,True,G,3,left,TRAPPIST-1e,55,False,0,0,0,0,0,Jodye,Coopelandez,False
44,2,Earth,True,G,3,left,Cancri e,4,False,0,0,0,0,0,Kayne,Coopelandez,True
44,3,Earth,True,G,3,left,PSO J318,21,False,0,0,0,0,0,Cassa,Coopelandez,True
45,1,Mars,False,F,10,left,TRAPPIST-1e,21,False,970,0,180,0,64,Zelowl,Chmad,False
45,2,Mars,True,F,10,left,TRAPPIST-1e,19,False,0,0,0,0,0,Mass,Chmad,True
50,1,Earth,False,E,1,right,Cancri e,35,False,790,0,0,450,0,Sony,Lancis,False
51,1,Earth,False,E,2,right,TRAPPIST-1e,56,False,0,112,0,1379,127,Vivia,Johnshines,False
52,1,Earth,False,G,6,right,TRAPPIST-1e,36,False,4,0,2,4683,0,Elaney,Hubbarton,False
53,1,Earth,False,F,11,right,TRAPPIST-1e,25,False,0,0,1938,0,1,Elson,Hickerson,True
56,1,Earth,False,A,1,right,TRAPPIST-1e,2,False,0,0,0,0,0,Okulas,Tractive,True
56,2,Earth,True,A,1,right,TRAPPIST-1e,38,False,0,0,0,0,0,Instab,Tractive,True
56,3,Earth,False,A,1,right,TRAPPIST-1e,27,False,279,605,3374,286,3,Zinoces,Tractive,True
58,1,Earth,True,G,7,right,PSO J318,36,False,0,0,0,0,0,Warry,Ayalazquez,False
61,1,Earth,False,F,12,right,TRAPPIST-1e,22,False,45,1096,148,1377,1,Shanya,Salez,False
62,1,Earth,False,F,13,right,TRAPPIST-1e,62,False,0,592,0,17,25,Sterry,Greeves,False
64,1,Mars,True,F,14,right,TRAPPIST-1e,15,False,0,0,0,0,0,unknown,unknown,True
64,2,Mars,True,E,3,right,TRAPPIST-1e,33,False,0,0,180,0,0,Colatz,Keen,True
66,1,Earth,False,G,6,left,TRAPPIST-1e,62,False,1,153,197,0,460,Diandy,Pecketton,False
67,1,Earth,True,G,10,right,PSO J318,0,False,0,0,0,0,0,Ninaha,Leeves,True
67,2,Earth,False,G,10,right,TRAPPIST-1e,18,False,1,258,446,0,0,Celine,Leeves,True
67,3,Earth,False,F,15,right,Cancri e,21,False,1946,37,0,0,24,Velyne,Leeves,False
68,1,Mars,False,E,4,right,TRAPPIST-1e,52,False,793,0,2,253,0,Cinst,Binie,False
69,1,Earth,False,F,16,right,TRAPPIST-1e,42,False,887,0,9,6,0,unknown,unknown,True
70,1,Earth,False,F,13,left,TRAPPIST-1e,19,False,190,0,5,1,726,Meremy,Brighttt,False
71,1,Earth,False,F,14,left,TRAPPIST-1e,17,False,16,2165,0,0,52,Nelly,Dillines,False
72,1,Earth,False,F,17,right,TRAPPIST-1e,14,False,0,1,0,0,1063,Thell,Brantuarez,False
73,1,Mars,False,D,3,left,PSO J318,37,False,46,83,738,0,12,Gorn,Make,False
74,1,Earth,False,C,3,right,TRAPPIST-1e,42,False,1,8397,0,0,506,Aldibah,Mostedry,True
76,1,Mars,False,F,18,right,TRAPPIST-1e,27,False,147,0,1018,0,0,Conk,Dal,True
77,1,Mars,False,F,15,left,TRAPPIST-1e,28,False,14,0,1295,0,0,Pon,Blité,True
78,1,Earth,False,C,4,right,TRAPPIST-1e,38,False,0,5840,0,321,9654,Spuri,Pokerheed,False
81,1,Earth,True,G,13,right,TRAPPIST-1e,13,False,0,0,0,0,0,Dellie,Vinozarks,False
82,1,Mars,False,F,16,left,TRAPPIST-1e,42,False,7406,0,0,0,0,Totse,Datte,False
82,2,Mars,True,F,16,left,TRAPPIST-1e,2,False,0,0,0,0,0,Eaturs,Datte,True
82,3,Mars,False,F,16,left,TRAPPIST-1e,8,False,0,0,0,0,0,unknown,unknown,True
84,1,Earth,False,G,14,right,TRAPPIST-1e,24,False,688,0,0,0,17,Coren,Coopezmaney,True
85,1,Earth,True,C,5,right,TRAPPIST-1e,40,False,0,0,0,0,0,Furudah,Ellcefulve,True
86,1,Earth,False,F,17,left,TRAPPIST-1e,43,False,211,0,0,638,513,Jodye,Kinson,False
88,1,Mars,True,E,5,right,PSO J318,45,False,0,0,0,0,0,Stmeal,Sacre,True
90,1,Earth,True,G,15,right,TRAPPIST-1e,35,False,0,0,0,0,0,Heremy,Santry,True
91,1,Earth,True,G,16,right,TRAPPIST-1e,26,False,250,0,0,0,0,Deanne,Yorkland,True
91,2,Earth,False,F,20,right,TRAPPIST-1e,27,False,1,697,31,188,0,Tinez,Yorkland,False
92,1,Earth,False,G,9,left,TRAPPIST-1e,19,False,0,0,670,1,34,Gracy,Dunnisey,False
92,2,Earth,True,G,9,left,TRAPPIST-1e,0,False,0,0,0,0,0,Stald,Hewson,True
92,3,Earth,True,G,9,left,TRAPPIST-1e,3,False,0,0,0,0,0,Tiney,Hewson,True
97,1,Earth,False,A,2,right,TRAPPIST-1e,54,False,0,1208,0,3,637,Alchium,Fictful,False
98,1,Earth,False,G,11,left,TRAPPIST-1e,26,False,0,856,5,32,0,Doria,Carezquez,False
98,2,Earth,False,G,11,left,TRAPPIST-1e,26,False,0,2811,957,0,87,Leence,Carezquez,True
99,1,Earth,False,F,19,left,PSO J318,23,False,311,427,526,37,0,Aliey,Leetersoney,False
99,2,Earth,True,G,12,left,TRAPPIST-1e,2,False,0,0,0,0,0,Thewis,Connelson,True
102,1,Earth,False,F,23,right,TRAPPIST-1e,18,False,0,0,0,830,91,Ritany,Holson,False
103,1,Earth,False,F,24,right,TRAPPIST-1e,24,False,0,800,0,0,17,Arlen,Mclainez,True
103,2,Earth,True,G,18,right,Cancri e,9,False,0,0,0,0,0,Shaele,Mclainez,True
103,3,Earth,True,G,18,right,TRAPPIST-1e,6,False,0,0,0,0,0,Fanne,Mclainez,False
105,1,Earth,True,F,21,left,TRAPPIST-1e,27,False,0,0,570,2,131,Carry,Cleachrand,False
107,1,Mars,False,D,2,right,TRAPPIST-1e,21,False,1743,5,17,0,0,Coobix,Hart,False
108,1,Earth,True,G,19,right,TRAPPIST-1e,23,False,0,0,0,0,0,Natald,Handertiz,False
108,2,Earth,False,G,19,right,TRAPPIST-1e,31,False,562,0,326,0,0,unknown,unknown,False
108,3,Earth,False,G,19,right,TRAPPIST-1e,0,False,0,0,0,0,0,Oline,Handertiz,True
110,1,Earth,False,A,33,left,TRAPPIST-1e,32,False,0,410,6,3929,764,Graviph,Aloubtled,False
110,2,Earth,False,B,5,left,TRAPPIST-1e,40,False,0,331,0,0,1687,Aldeba,Bootious,False
110,3,Earth,False,B,5,left,TRAPPIST-1e,42,False,2209,11418,0,1868,445,Alaratz,Aloubtled,True
110,4,Earth,True,B,5,left,TRAPPIST-1e,28,False,0,0,0,0,0,Izark,Aloubtled,True
111,1,Earth,True,E,6,right,TRAPPIST-1e,29,False,0,0,0,0,0,Aldera,Supred,True
112,1,Earth,False,B,1,right,Cancri e,48,True,0,2537,87,17,13,Moth,Cowtale,True
113,1,Earth,False,F,23,left,TRAPPIST-1e,64,False,0,0,804,0,0,Idary,Carvis,True
114,1,Earth,False,G,20,right,TRAPPIST-1e,27,False,82,157,429,238,1,Maura,Beckerson,False
115,1,Mars,True,F,24,left,TRAPPIST-1e,26,False,0,0,0,0,400,Rohs,Pead,True
116,1,Earth,False,D,4,left,TRAPPIST-1e,33,False,1,2223,0,12,404,Alhenah,Suptive,True
119,1,Earth,False,A,0,left,TRAPPIST-1e,39,False,0,2344,0,65,6898,Batan,Coning,False
119,2,Earth,True,A,0,left,TRAPPIST-1e,13,False,0,0,0,0,0,Kleeiak,Coning,True
120,1,Mars,True,F,25,left,TRAPPIST-1e,24,False,0,0,0,0,250,Bees,Sacre,True
122,1,Earth,False,G,21,right,TRAPPIST-1e,29,False,0,0,0,699,74,Shelle,Hayder,False
123,1,Earth,False,F,27,left,TRAPPIST-1e,18,False,55,597,49,0,1,Iree,Fielson,False
126,1,Mars,True,F,27,right,TRAPPIST-1e,67,False,0,0,0,0,0,Milly,Mish,True
127,1,Mars,False,E,7,right,TRAPPIST-1e,35,False,701,0,296,0,25,Miloss,Mesty,False
128,1,Mars,False,D,3,right,TRAPPIST-1e,61,True,2353,334,9,316,2,Grohs,Fles,False
128,2,Mars,False,E,8,right,TRAPPIST-1e,45,False,2103,6,0,0,0,Barave,Fles,False
129,1,Earth,True,G,22,right,PSO J318,22,False,0,0,180,0,0,Race,Fowles,True
133,1,Mars,True,F,29,right,TRAPPIST-1e,19,False,0,0,0,0,0,Flynx,Blie,True
133,2,Mars,False,D,5,right,TRAPPIST-1e,36,False,2738,0,0,0,0,Egrasp,Blie,False
134,1,Earth,False,G,17,left,TRAPPIST-1e,19,False,0,14,730,0,0,Camina,Harmontry,True
136,1,Earth,False,G,23,right,PSO J318,47,False,97,418,126,25,55,unknown,unknown,False
138,1,Earth,True,G,18,left,TRAPPIST-1e,13,False,0,0,0,0,0,Fayene,Gambs,True
138,2,Earth,False,E,5,left,TRAPPIST-1e,34,False,0,22,0,564,207,Monah,Gambs,False
